Models,Engine Size,Fuel,Engine Code,Years,
Ford B-Max Van,1.5 litre,Diesel,"UGJC, XVJA, XVJC",2012 - 2017,
Ford B-Max,1.6 litre,Diesel,"UGJC, XVJA, XVJC, T3JB",2012 - Current,
Ford B-Max,1.6 litre,Petrol,"UGJC, XVJA, XVJC, T3JB, IQJA",2012 - Current,
Ford B-Max,1.0 litre,Petrol,"M1JA, M1JE, SFJA, SFJB, YYJC",2012 - Current,
Ford B-Max,1.5 litre,Diesel,"UGJC, XVJA, XVJC",2012 - 2017,
Ford B-Max,1.4 litre,Petrol,"UGJC, XVJA, XVJC, SPJD",2012 - Current,
Ford B-Max,1.4 litre,Petrol/Gas,"UGJC, XVJA, XVJC, SPJD, RTJC",2013 - Current,
Ford C-Max Mark 1,1.6 litre,Diesel,"G8DA, G8DB, G8DC, G8DD, GPDA, HHDA, HHDB, MTDA",2003 - 2012,
Ford C-Max Mark 1,1.8 litre,Petrol,"QQDA, QQDB, QQDC",2004 - 2012,
Ford C-Max Mark 1,1.8 litre,Diesel,"QQDA, QQDB, QQDC, KKDA",2005 - 2010,
Ford C-Max,1.6 litre,Petrol,"HXDA, HXDB, SIDA",2004 - 2012,
Ford C-Max Mark 1,1.6 litre,Petrol,"HWDA, HWDB, SHDA, SHDB, SHDC",2003 - 2012,
Ford C-Max Mark 1,1.8 litre,Petrol/Ethanol,"HWDA, HWDB, SHDA, SHDB, SHDC, Q7DA",2004 - 2012,
Ford C-Max Mark 1,2.0 litre,Diesel,"G6DA, G6DB, G6DC, G6DD, G6DE, G6DF, G6DG, IXDA",2003 - 2012,
Ford C-Max Mark 1,2.0 litre,Petrol,"AODA, AODB, AODE, SYDA",2004 - 2012,
Ford C-Max Mark 2,1.6 litre,Petrol,"IQDA, IQDB, JQDA, JQDB, JTDA, JTDB, PNDA, XTDA",2010 - 2019,
Ford C-Max Mark 2,1.6 litre,Diesel,"T1DA, T1DB, T3DA, T3DB",2010 - 2019,
Ford C-Max Mark 2,1.0 litre,Petrol,"M1DA, M2DA, SFDA",2012 - 2019,
Ford C-Max Mark 2 Van,1.5 litre,Petrol,"M8DB, M9DB",2014 - 2019,
Ford C-Max Van,2.0 litre,Diesel,"TXDB, TYDA, UFDB",2010 - 2019,
Ford C-Max Van,1.6 litre,Petrol,"JQDA, JQDB",2010 - 2019,
Ford C-Max Mark 2,2.0 litre,Diesel,"TXDB, TYDA, UFDB, UKDB",2010 - 2019,
Ford C-Max Mark 2,1.6 litre,Petrol/Alcohol/Gas,"TXDB, TYDA, UFDB, UKDB, MUDA",2010 - 2019,
Ford C-Max Mark 2 Van,2.0 litre,Diesel,"T7DB, T8DE",2014 - 2019,
Ford C-Max Mark 2 Van,1.5 litre,Diesel,"AEDA, XWDA, XWDB",2014 - 2019,
Ford Courier Pickup,1.8 litre,Petrol,RKA,1993 - 2002,
Ford Courier Pickup,2.5 litre,Diesel,"RKA, WL-T",1998 - 2006,
Ford Courier Pickup,1.8 litre,Diesel,"RKA, WL-T, RTK",1995 - 2002,
Ford Ecosport,2.0 litre,Petrol,AOJB,2012 - Current,
Ford Ecosport,1.5 litre,Diesel,"AOJB, XVJD",2015 - Current,
Ford Ecosport,1.6 litre,Petrol,"HXJD, IQJB, MVJA",2012 - Current,
Ford Ecosport,1.0 litre,Petrol,"HXJD, IQJB, MVJA, YYJD",2016 - Current,
Ford Ecosport 1.0,1.0 litre,Petrol,"HXJD, IQJB, MVJA, YYJD, M1JC",2013 - Current,
Ford Ecosport 1.5,1.5 litre,Diesel,"HXJD, IQJB, MVJA, YYJD, M1JC, UGJE",2013 - Current,
Ford Ecosport 1.5,1.5 litre,Petrol,"HXJD, IQJB, MVJA, YYJD, M1JC, UGJE, UEJB",2013 - Current,
Ford Fiesta Van Mark 1,1.0 litre,Petrol,"TKA, TKB",1976 - 1989,
Ford Fiesta Van Mark 1,1.1 litre,Petrol,"GL1, GLA",1976 - 1986,
Ford Fiesta Van Mark 2,1.3 litre,Super unleaded (95),"GL1, GLA, J6B",1991 - 1997,
Ford Fiesta Van Mark 2,1.8 litre,Diesel,"RTC, RTD, RTG",1989 - 1996,
Ford Fiesta Van Mark 2,1.6 litre,Diesel,"RTC, RTD, RTG, LTB",1983 - 1989,
Ford Fiesta Van Mark 2,1.4 litre,Petrol,"RTC, RTD, RTG, LTB, F6A",1986 - 1989,
Ford Fiesta Mark 3,1.1 litre,Super unleaded (95),"RTC, RTD, RTG, LTB, F6A, G6A",1989 - 1995,
Ford Fiesta Mark 3,1.8 litre,Diesel,"RFL, RTC, RTD, RTG",1988 - 1996,
Ford Fiesta Mark 3,1.4 litre,Petrol,"RFL, RTC, RTD, RTG, F4A",- Current,
Ford Fiesta Mark 3,1.1 litre,Petrol,"GUD, GUE",1989 - 1995,
Ford Fiesta Mark 3,1.6 litre,Super unleaded (95),"GUD, GUE, LJC",1989 - 1994,
Ford Fiesta Mark 3,1.6 litre,Petrol,"LHA, LJD",1989 - 1993,
Ford Fiesta Mark 3,1.0 litre,Super unleaded (95),"LHA, LJD, TLB",1989 - 1995,
Ford Fiesta Mark 3,1.6 litre,Petrol,"L1G, LUH",1989 - 1995,
Ford Fiesta Mark 3,1.4 litre,Petrol,"L1G, LUH, FUG",1989 - 1995,
Ford Fiesta Mark 3,1.8 litre,Super unleaded (95),"RDB, RQC",1992 - 1995,
Ford Fiesta Mark 3,1.3 litre,Super unleaded (95),"J6B, JBC",1989 - 2002,
Ford Fiesta Mark 3,1.4 litre,Super unleaded (95),"F6E, FUF, FUJ",1989 - 1996,
Ford Fiesta Mark 4,1.4 litre,Petrol,"FHA, FHE",1996 - 2002,
Ford Fiesta Mark 4,1.3 litre,Petrol,"J4C, J4L, J4Q, J4R, J4T, JJA, JJC, JJE, JJJ, JJK, JJM",1995 - 2003,
Ford Fiesta Mark 4,1.2 litre,Petrol,"DHA, DHB, DHC, DHD, DHE, DHF, DHG",1995 - 2002,
Ford Fiesta Mark 4,1.3 litre,Super unleaded (95),"J4J, JBC",1989 - 2002,
Ford Fiesta Mark 4,1.8 litre,Diesel,"RTJ, RTK, RTN, RTP, RTQ",1995 - 2006,
Ford Fiesta Mark 4,1.6 litre,Petrol,"L1T, L1V",2000 - 2002,
Ford Fiesta Van Mark 3,1.4 litre,Petrol,"L1T, L1V, FHA",1996 - 2002,
Ford Fiesta Van Mark 3,1.8 litre,Diesel,"L1T, L1V, FHA, RTK",1995 - 2002,
Ford Fiesta Mark 5,1.6 litre,Petrol,"FYJA, FYJB",2001 - 2009,
Ford Fiesta Mark 5,1.2 litre,Petrol,"FUJA, FUJB, M7JA, M7JB",2002 - 2012,
Ford Fiesta Mark 5,1.4 litre,Petrol,"FXJA, FXJB",2001 - 2012,
Ford Fiesta Mark 5,1.3 litre,Petrol,"A9JA, A9JB, BAJA",2001 - 2008,
Ford Fiesta Mark 5,1.4 litre,Diesel,"F6JA, F6JB",2001 - 2012,
Ford Fiesta Mark 5,1.6 litre,Diesel,"HHJA, HHJB",2004 - 2012,
Ford Fiesta Mark 5,2.0 litre,Petrol,"HHJA, HHJB, N4JB",2005 - 2008,
Ford Fiesta Saloon,1.6 litre,Petrol,"HXJA, HXJB",2008 - 2012,
Ford Fiesta Saloon,1.0 litre,Petrol,"M1JE, M1JH",2012 - Current,
Ford Fiesta Saloon,1.6 litre,Diesel,"M1JE, M1JH, HHJC",2008 - 2012,
Ford Fiesta Saloon,1.4 litre,Diesel,"M1JE, M1JH, HHJC, F6JC",2002 - 2011,
Ford Fiesta Saloon,1.4 litre,Petrol,"M1JE, M1JH, HHJC, F6JC, M6JA",2010 - Current,
Ford Fiesta Van Mark 5,1.4 litre,Diesel,"F6JA, F6JB",2001 - 2012,
Ford Fiesta Mark 6,1.4 litre,Petrol,"SPJA, SPJC",2008 - 2012,
Ford Fiesta Mark 6,1.2 litre,Petrol,"SNJA, SNJB, STJA, STJB",2008 - 2017,
Ford Fiesta Mark 6,1.5 litre,Diesel,"UGJC, XVJB, XVJC",2012 - 2017,
Ford Fiesta Mark 6,1.6 litre,Diesel,"HHJC, HHJD, HHJE, HHJF, T3JA, TZJA, TZJB, UBJA",2008 - 2015,
Ford Fiesta Mark 6,1.4 litre,Petrol/Gas,"RTJA, RTJB",2009 - 2017,
Ford Fiesta Van Mark 6,1.2 litre,Petrol,"SNJA, SNJB",2008 - 2017,
Ford Fiesta Van Mark 6,1.4 litre,Diesel,"F6JB, F6JD, KVJA",2001 - 2012,
Ford Fiesta Van Mark 6,1.0 litre,Petrol,"M1JE, P4JA, P4JB, P4JC, P4JD, SFJA, SFJB, XMJA, XMJB",2012 - 2017,
Ford Fiesta Van Mark 6,1.6 litre,Diesel,"HHJC, HHJD, HHJE, TZJA, TZJB",2008 - 2015,
Ford Fiesta Van Mark 6,1.5 litre,Diesel,"UGJC, XVJB, XVJC",2012 - 2017,
Ford Fiesta Van Mark 6,1.6 litre,Petrol,"UGJC, XVJB, XVJC, JTJA",2013 - 2017,
Ford Focus Mark 1,1.6 litre,Petrol,"FYDA, FYDB, FYDC, FYDD, FYDH",1998 - 2004,
Ford Focus Mark 1,1.8 litre,Diesel,"BHDA, BHDB, C9DA, C9DB, C9DC, F9DA, F9DB, FFDA",1998 - 2005,
Ford Focus Mark 1,2.0 litre,Petrol,"ALDA, EDDB, EDDC, EDDD, EDDF, HMDA",1998 - 2004,
Ford Focus Mark 1,1.4 litre,Petrol,"FXDA, FXDB, FXDC, FXDD",1998 - 2004,
Ford Focus Mark 1,1.8 litre,Petrol,"EYDB, EYDC, EYDD, EYDE, EYDF, EYDG, EYDI, EYDJ, EYDL",1998 - 2004,
Ford Focus C-Max,1.8 litre,Diesel,"EYDB, EYDC, EYDD, EYDE, EYDF, EYDG, EYDI, EYDJ, EYDL, CSDA",2003 - 2015,
Ford Focus C-Max,1.6 litre,Petrol,"HWDA, HWDB, HXDA, SIDA",2003 - 2012,
Ford Focus C-Max,1.8 litre,Diesel,"HWDA, HWDB, HXDA, SIDA, KKDA",2005 - 2010,
Ford Focus C-Max,2.0 litre,Diesel,"G6DA, G6DB, G6DC, G6DD, G6DE, G6DF, G6DG",2003 - 2012,
Ford Focus C-Max,1.6 litre,Diesel,"G8DA, G8DB, HHDA, HHDB",2003 - 2012,
Ford Focus C-Max,1.8 litre,Petrol,"CSDB, QQDA, QQDB, QQDC",2003 - 2012,
Ford Focus C-Max,1.8 litre,Petrol/Ethanol,"CSDB, QQDA, QQDB, QQDC, Q7DA",2004 - 2012,
Ford Focus C-Max,2.0 litre,Petrol,"AODA, AODB, SYDA",2004 - 2012,
Ford Focus Mark 2,1.6 litre,Diesel,"G8DA, G8DB, G8DC, G8DD, G8DE, G8DF, GPDA, GPDC, HHDA, HHDB, MTDA",2003 - 2012,
Ford Focus Mark 2,1.6 litre,Petrol,"HWDA, HWDB, HXDA, HXDB, SHDA, SHDB, SHDC, SIDA",2003 - 2012,
Ford Focus Mark 2,2.5 litre,Petrol,"HWDA, HWDB, HXDA, HXDB, SHDA, SHDB, SHDC, SIDA, HYDA",2005 - 2012,
Ford Focus Mark 2,1.4 litre,Petrol,"ASDA, ASDB",2004 - 2012,
Ford Focus Mark 2,2.5 litre,Petrol,"ASDA, ASDB, JZDA",2009 - 2011,
Ford Focus Mark 3,1.0 litre,Petrol,"M1DA, M2DA",2012 - 2019,
Ford Focus Mark 3,2.0 litre,Diesel,"TXDB, TYDA, UFDB, UKDB",2010 - 2019,
Ford Focus Mark 3,1.5 litre,Petrol,"M8DA, M8DB, M9DA, M9DB",2014 - 2019,
Ford Focus Mark 3,1.6 litre,Diesel,"NGDA, T1DA, T1DB, T3DA, T3DB",2010 - 2019,
Ford Focus Mark 3,1.6 litre,Petrol/Alcohol/Gas,"NGDA, T1DA, T1DB, T3DA, T3DB, MUDA",2010 - 2019,
Ford Focus Mark 3,litre,Petrol/Natural Gas (LNG),"NGDA, T1DA, T1DB, T3DA, T3DB, MUDA, KDDA",2013 - 2017,
Ford Focus Mark 3,2.3 litre,Petrol,"NGDA, T1DA, T1DB, T3DA, T3DB, MUDA, KDDA, YVDA",2015 - Current,
Ford Focus Mark 3,1.5 litre,Diesel,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC",2014 - 2019,
Ford Focus Mark 3 Saloon,1.6 litre,Diesel,"NGDA, NGDB",2012 - Current,
Ford Focus Mark 3,2.0 litre,Petrol,"MGDA, R9DA, XQDA",2010 - 2017,
Ford Focus Mark 3,1.6 litre,Petrol,"IQDB, JQDA, JQDB, JTDA, JTDB, PNDA, XTDA",2010 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.6 litre,Diesel,"T1DA, T1DB",2010 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.6 litre,Petrol,"IQDB, JQDA, JQDB, JTDA, JTDB",2010 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.5 litre,Petrol,"M8DA, M8DB, M9DA, M9DB",2014 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,2.0 litre,Diesel,"T7DB, TYDA, UFDB",2010 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.5 litre,Diesel,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC",2014 - 2019,
Ford Focus Mark 3 Van Body / Hatchback,1.6 litre,Petrol/Ethanol,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC, YUDA",2011 - 2014,
Ford Focus Mark 3 Van Body / Estate,1.0 litre,Petrol,"M1DA, M2DA",2012 - 2019,
Ford Focus Mark 3 Van Body / Estate,2.0 litre,Diesel,"M1DA, M2DA, T7DB",2014 - 2019,
Ford Focus Mark 3 Van Body / Estate,1.5 litre,Diesel,"XWDA, XWDB, XWDC, XWDD, XXDA, XXDB, XXDC",2014 - 2019,
Ford Fusion,1.3 litre,Petrol,BAJA,2001 - 2008,
Ford Galaxy Mark 1,2.0 litre,Petrol,"NSE, ZVSA",1995 - 2006,
Ford Galaxy Mark 1,1.9 litre,Diesel,"1Z, AFN, AHU, ANU, ASZ, AUY, AVG, BTB",1995 - 2006,
Ford Galaxy Mark 1,2.3 litre,Petrol,"E5SB, Y5B",1996 - 2006,
Ford Galaxy Mark 1,2.3 litre,Super unleaded (95),"E5SB, Y5B, E5SA",1997 - 2006,
Ford Galaxy Mark 1,2.8 litre,Petrol,"AAA, AMY, AYL",1995 - 2006,
Ford Galaxy Mark 1,2.0 litre,Diesel,"T7CI, T7CJ, T7CL, T8CG, T8CH, T8CI, T8CJ",2015 - 2018,
Ford Galaxy Mark 2,2.2 litre,Diesel,"KNWA, Q4BA, Q4WA",2008 - 2015,
Ford Galaxy Mark 2,1.8 litre,Diesel,"FFWA, QYWA",2006 - 2015,
Ford Galaxy Mark 2,1.6 litre,Petrol,"JTWA, JTWB",2010 - 2015,
Ford Galaxy Mark 2,1.6 litre,Diesel,"T1WA, T1WB",2011 - 2015,
Ford Galaxy Mark 2,2.0 litre,Petrol,"AOWA, AOWB, TNWA, TNWB",2006 - 2015,
Ford Galaxy Mark 2,2.0 litre,Petrol/Ethanol,"TBWA, TBWB",2006 - 2015,
Ford Galaxy Mark 2,2.3 litre,Petrol,"TBWA, TBWB, SEWA",2007 - 2015,
Ford Galaxy Mark 2,2.0 litre,Diesel,"AZWA, AZWC, KLWA, QXWA, QXWB, QXWC, TXWA, TYWA, UFWA, UKWA",2006 - 2015,
Ford Grand C-Max,1.6 litre,Petrol,"IQDA, IQDB, JQDA, JQDB, JTDA, JTDB, PNDA",2010 - 2019,
Ford Grand C-Max,1.0 litre,Petrol,"M1DA, M2DA, SFDA",2012 - 2019,
Ford Grand C-Max,1.6 litre,Diesel,"T1DA, T1DB, T3DA, T3DB",2010 - 2019,
Ford Grand C-Max Van,1.6 litre,Diesel,"T1DA, T1DB, T3DA, T3DB",2010 - 2019,
Ford Grand C-Max Van,1.0 litre,Petrol,"M1DA, M2DA, SFDA",2012 - 2019,
Ford Grand C-Max Van,1.5 litre,Petrol,"M1DA, M2DA, SFDA, M8DB",2014 - 2019,
Ford Grand C-Max Van,1.6 litre,Petrol,"JQDA, JQDB",2010 - 2019,
